Itemid,Description,Price
1784,"Ecolab - Orange Frc, Cleaner",91
1785,"Yogurt - Banana, 175 Gr",11
1786,Apple - Macintosh,88
1787,Wine - Blue Nun Qualitatswein,20
1788,Puree - Raspberry,31
1789,Soup - Verve - Chipotle Chicken,7
1790,Flour - Semolina,94
1791,Spaghetti Squash,80
1792,Energy Drink,55
1793,Ecolab - Hobart Upr Prewash Arm,27
1794,Wine - Puligny Montrachet A.,22
1795,Table Cloth 54x54 White,84
1796,Lemon Pepper,51
1797,"Potatoes - Instant, Mashed",66
1798,Cake Slab,44
1799,Ostrich - Prime Cut,66
1800,Cheese - Provolone,87
1801,Phyllo Dough,30
1802,Flour - All Purpose,18
1803,Lettuce Romaine Chopped,25
1804,Table Cloth 144x90 White,21
1805,Sage Derby,45
1806,Sambuca - Ramazzotti,88
1807,Pancetta,59
1808,Beer - Corona,45
1809,Carbonated Water - White Grape,47
1810,Beef - Striploin Aa,27
1811,Lamb - Sausage Casings,13
1812,"Bread - Roll, Soft White Round",57
1813,Liners - Baking Cups,67
1814,Pork - Smoked Kassler,58
1815,Soup - Campbells Pasta Fagioli,7
1816,Lid Coffeecup 12oz D9542b,43
1817,"Lemonade - Island Tea, 591 Ml",84
1818,Beef - Shank,13
1819,"Beef - Tenderlion, Center Cut",92
1820,Sherbet - Raspberry,76
1821,Longos - Chicken Cordon Bleu,40
1822,Island Oasis - Ice Cream Mix,92
1823,Gatorade - Cool Blue Raspberry,40
1824,Napkin White,37
1825,Wine - Blue Nun Qualitatswein,45
1826,"Split Peas - Yellow, Dry",87
1827,Truffle - Whole Black Peeled,91
1828,Cups 10oz Trans,7
1829,"Wine - Red, Black Opal Shiraz",22
1830,Sultanas,36
1831,Kellogs All Bran Bars,7
1832,Bacardi Raspberry,27
1833,"Nut - Chestnuts, Whole",40
1834,Bread Crumbs - Japanese Style,8
1835,Bread Base - Toscano,13
1836,Sauce - Rosee,97
1837,"Lamb - Pieces, Diced",89
1838,"Sauce - Apple, Unsweetened",66
1839,Melon - Cantaloupe,90
1840,Cloves - Ground,17
1841,Papadam,11
1842,Beer - Pilsner Urquell,76
1843,Sauce - Oyster,55
1844,Cheese - Brie,33
1845,Wine - Casillero Deldiablo,34
1846,"Tortillas - Flour, 12",62
1847,"Oil - Truffle, Black",64
1848,Glycerine,5
1849,Chutney Sauce - Mango,52
1850,Muffin Hinge Container 6,11
1851,"Olives - Black, Pitted",46
1852,"Wine - White, Chardonnay",96
1853,Lettuce - Curly Endive,9
1854,Beef - Sushi Flat Iron Steak,19
1855,Pork - Side Ribs,78
1856,Alize Gold Passion,61
1857,Cheese Cheddar Processed,84
1858,Alize Sunset,89
1859,Cheese - Colby,92
1860,Wine - Placido Pinot Grigo,8
1861,Sauce - Oyster,39
1862,Galliano,85
1863,Canada Dry,14
1864,Sauce - Sesame Thai Dressing,90
1865,Lobak,97
1866,Chambord Royal,32
1867,"Pepper - Paprika, Hungarian",58
1868,Melon - Cantaloupe,4
1869,Cake - Sheet Strawberry,79
1870,"Beef - Ox Tongue, Pickled",95
1871,"Rum - Spiced, Captain Morgan",86
1872,Mayonnaise - Individual Pkg,58
1873,Sauce Bbq Smokey,97
1874,Croissants Thaw And Serve,1
1875,"Pork - Tenderloin, Frozen",34
1876,Island Oasis - Lemonade,64
1877,Dried Peach,70
1878,Oats Large Flake,45
1879,Wine - George Duboeuf Rose,93
1880,Ecolab - Balanced Fusion,86
1881,Campari,63
1882,Fond - Neutral,74
1883,Soup Campbells Beef With Veg,27
1884,Crackers - Graham,26
1885,Container - Foam Dixie 12 Oz,39
1886,Pasta - Agnolotti - Butternut,45
1887,"Veal - Insides, Grains",32
1888,Pineapple - Regular,48
1889,Beef - Diced,1
1890,Bread - Malt,70
1891,Coffee - Decafenated,67
1892,Muffin - Blueberry Individual,92
1893,"Lid - High Heat, Super Clear",17
1894,Potatoes - Idaho 100 Count,72
1895,Wine - Rosso Toscano Igt,6
1896,Greens Mustard,67
1897,Shortbread - Cookie Crumbs,82
1898,Smirnoff Green Apple Twist,3
1899,Langers - Cranberry Cocktail,44
1900,Sea Bass - Fillets,20
1901,Pork - Backfat,40
1902,Wine - Domaine Boyar Royal,26
1903,"Asparagus - White, Canned",19
1904,Bagelers,13
1905,"Nestea - Ice Tea, Diet",100
1906,"Jam - Marmalade, Orange",6
1907,Toamtoes 6x7 Select,6
1908,"Pasta - Linguini, Dry",4
1909,Pasta - Canelloni,27
1910,Initation Crab Meat,66
1911,"Mushroom - Shitake, Fresh",19
1912,Capers - Ox Eye Daisy,95
1913,Table Cloth 54x72 White,59
1914,"Cake Circle, Paprus",38
1915,Sage Derby,65
1916,"Oil - Truffle, Black",33
1917,Vol Au Vents,3
1918,Parasol Pick Stir Stick,11
1919,"Jam - Strawberry, 20 Ml Jar",37
1920,Soup - Verve - Chipotle Chicken,58
1921,Potatoes - Fingerling 4 Oz,88
1922,Cheese Cloth,99
1923,Flour - Cake,95
1924,"Doilies - 8, Paper",81
1925,Flour - Strong Pizza,47
1926,Salt And Pepper Mix - White,14
1927,Mussels - Cultivated,50
1928,Sesame Seed Black,13
1929,Bag Stand,20
1930,"Pail - 4l White, With Handle",10
1931,Sunflower Seed Raw,34
1932,Mangoes,80
1933,Soup - Verve - Chipotle Chicken,55
1934,Bread - Onion Focaccia,15
1935,Cake - Night And Day Choclate,28
1936,"Chicken - Wings, Tip Off",8
1937,Wine - Wyndham Estate Bin 777,64
1938,Cheese - Mix,27
1939,Brandy Apricot,17
1940,Beer - Maudite,6
1941,"Water - Spring Water, 355 Ml",6
1942,"Turkey - Breast, Double",37
1943,Emulsifier,70
1944,Kahlua,32
1945,"Wine - Red, Metus Rose",3
1946,Peppercorns - Green,2
1947,"Doilies - 12, Paper",28
1948,Sobe - Green Tea,45
1949,Tray - 12in Rnd Blk,43
1950,Beef - Rib Eye Aaa,64
1951,Pur Source,18
1952,Slt - Individual Portions,16
1953,Bread - Focaccia Quarter,92
1954,Lobster - Tail 6 Oz,73
1955,Mahi Mahi,52
1956,Ham Black Forest,92
1957,Kumquat,6
1958,Bowl 12 Oz - Showcase 92012,58
1959,Ginger - Crystalized,88
1960,Clementine,68
1961,Ezy Change Mophandle,12
1962,Baking Powder,30
1963,Kohlrabi,80
1964,Chives - Fresh,46
1965,Clams - Canned,58
1966,Dried Cranberries,55
1967,Shortbread - Cookie Crumbs,74
1968,Hot Choc Vending,98
1969,Pheasants - Whole,70
1970,Gherkin - Sour,76
1971,Rambutan,84
1972,Graham Cracker Mix,53
1973,Southern Comfort,6
1974,Cilantro / Coriander - Fresh,37
1975,Yucca,80
1976,Clam Nectar,80
1977,Pie Filling - Apple,48
1978,Lumpfish Black,73
1979,Wine - Magnotta - Cab Franc,91
1980,Soup - Base Broth Beef,51
1981,Wine - Cave Springs Dry Riesling,81
1982,Beef - Inside Round,46
1983,Cheese - Comtomme,61
1984,"Crab - Claws, Snow 16 - 24",51
1985,"Juice - Orange, Concentrate",27
1986,"Soda Water - Club Soda, 355 Ml",45
1987,Milk - Homo,89
1988,Syrup - Kahlua Chocolate,95
1989,"Bread - Pita, Mini",11
1990,Campari,58
1991,Wine - Montecillo Rioja Crianza,88
1992,"Cherries - Maraschino,jar",96
1993,Eggs - Extra Large,15
1994,Shrimp - 150 - 250,72
1995,Turkey - Oven Roast Breast,22
1996,"Pasta - Lasagne, Fresh",34
1997,"Beans - Black Bean, Dry",70
1998,Garam Masala Powder,33
1999,Piping - Bags Quizna,42
